Time	(21) S1i	(22) S2i	(23) S3i	(24) S4i	
0.0472	-0.05395164	-0.06092468	-0.06604836	-0.05907532	
0.0474	-0.05392352	-0.0609292	-0.06607648	-0.0590708	
0.0476	-0.05389547	-0.06093371	-0.06610452	-0.05906629	
0.0478	-0.05386755	-0.06093821	-0.06613245	-0.05906178	
0.048	-0.05383979	-0.06094269	-0.06616021	-0.0590573	
0.0482	-0.0538121	-0.06094717	-0.0661879	-0.05905282	
0.0484	-0.05378453	-0.06095164	-0.06621546	-0.05904836	
0.0486	-0.05375713	-0.06095608	-0.06624287	-0.05904392	
0.0488	-0.0537298	-0.06096052	-0.0662702	-0.05903948	
0.049	-0.05370259	-0.06096495	-0.06629741	-0.05903505	
0.0492	-0.05367554	-0.06096936	-0.06632446	-0.05903064	
0.0494	-0.05364856	-0.06097377	-0.06635144	-0.05902623	
0.0496	-0.05362171	-0.06097816	-0.0663783	-0.05902184	
0.0498	-0.05359501	-0.06098253	-0.06640498	-0.05901747	
0.05	-0.05356839	-0.0609869	-0.06643161	-0.0590131	
0.0502	-0.05354189	-0.06099126	-0.06645811	-0.05900874	
0.0504	-0.05351555	-0.06099559	-0.06648446	-0.05900441	
0.0506	-0.05348928	-0.06099993	-0.06651072	-0.05900007	
0.0508	-0.05346312	-0.06100425	-0.06653688	-0.05899575	
0.051	-0.05343713	-0.06100855	-0.06656287	-0.05899145	
0.0512	-0.05341121	-0.06101285	-0.06658879	-0.05898715	
0.0514	-0.05338541	-0.06101714	-0.06661459	-0.05898286	
0.0516	-0.05335977	-0.06102141	-0.06664024	-0.05897859	
0.0518	-0.0533342	-0.06102567	-0.06666581	-0.05897433	
0.052	-0.05330874	-0.06102992	-0.06669126	-0.05897008	
0.0522	-0.05328344	-0.06103415	-0.06671656	-0.05896585	
0.0524	-0.05325822	-0.06103839	-0.06674178	-0.05896161	
0.0526	-0.05323311	-0.0610426	-0.06676689	-0.0589574	
0.0528	-0.05320816	-0.0610468	-0.06679184	-0.0589532	
0.053	-0.05318328	-0.061051	-0.06681672	-0.058949	
0.0532	-0.05315852	-0.06105518	-0.06684148	-0.05894481	
0.0534	-0.05313391	-0.06105935	-0.06686608	-0.05894065	
0.0536	-0.05310938	-0.06106351	-0.06689062	-0.05893649	
0.0538	-0.05308496	-0.06106767	-0.06691504	-0.05893233	
0.054	-0.05306069	-0.0610718	-0.06693931	-0.0589282	
0.0542	-0.0530365	-0.06107593	-0.0669635	-0.05892407	
0.0544	-0.05301242	-0.06108005	-0.06698757	-0.05891995	
0.0546	-0.0529885	-0.06108415	-0.06701151	-0.05891585	
0.0548	-0.05296465	-0.06108825	-0.06703535	-0.05891175	
0.055	-0.05294091	-0.06109234	-0.06705909	-0.05890767	
0.0552	-0.05291732	-0.0610964	-0.06708268	-0.0589036	
0.0554	-0.05289381	-0.06110047	-0.06710619	-0.05889953	
0.0556	-0.0528704	-0.06110452	-0.0671296	-0.05889548	
0.0558	-0.05284715	-0.06110856	-0.06715284	-0.05889144	
0.056	-0.05282398	-0.0611126	-0.06717602	-0.0588874	
0.0562	-0.05280091	-0.06111662	-0.06719909	-0.05888338	
0.0564	-0.052778	-0.06112063	-0.06722201	-0.05887937	
0.0566	-0.05275515	-0.06112463	-0.06724484	-0.05887537	
0.0568	-0.05273242	-0.06112862	-0.06726757	-0.05887138	
0.057	-0.05270984	-0.0611326	-0.06729016	-0.0588674	
0.0572	-0.05268733	-0.06113657	-0.06731267	-0.05886343	
0.0574	-0.05266493	-0.06114053	-0.06733507	-0.05885947	
0.0576	-0.05264268	-0.06114448	-0.06735732	-0.05885552	
0.0578	-0.0526205	-0.06114842	-0.0673795	-0.05885158	
0.058	-0.05259844	-0.06115235	-0.06740157	-0.05884765	
0.0582	-0.05257652	-0.06115627	-0.06742349	-0.05884373	
0.0584	-0.05255467	-0.06116018	-0.06744533	-0.05883982	
0.0586	-0.05253293	-0.06116408	-0.06746707	-0.05883592	
0.0588	-0.05251133	-0.06116797	-0.06748866	-0.05883203	
0.059	-0.05248981	-0.06117185	-0.06751019	-0.05882815	
0.0592	-0.0524684	-0.06117572	-0.0675316	-0.05882427	
0.0594	-0.05244713	-0.06117958	-0.06755286	-0.05882042	
0.0596	-0.05242594	-0.06118343	-0.06757406	-0.05881657	
0.0598	-0.05240485	-0.06118728	-0.06759515	-0.05881272	
0.06	-0.05238391	-0.0611911	-0.06761609	-0.0588089	
0.0602	-0.05236304	-0.06119493	-0.06763696	-0.05880507	
0.0604	-0.05234227	-0.06119874	-0.06765772	-0.05880126	
0.0606	-0.05232165	-0.06120254	-0.06767835	-0.05879746	
0.0608	-0.05230111	-0.06120634	-0.0676989	-0.05879366	
0.061	-0.05228066	-0.06121013	-0.06771933	-0.05878988	
0.0612	-0.05226037	-0.0612139	-0.06773964	-0.0587861	
0.0614	-0.05224014	-0.06121767	-0.06775986	-0.05878234	
