Time	(10) Hip Flx Ib	(11) Knee Ext Ib	(12) Knee Flx Ib	(13) Ankle Ext Ib	(14) Ankle Flx Ib	(9) Hip Ext Ib	
4.1288	-0.05228506	-0.04698238	-0.04	-0.04699415	-0.04	-0.0597567	
4.129	-0.05229309	-0.04697466	-0.04	-0.04698641	-0.04	-0.05975681	
4.1292	-0.05230175	-0.04696631	-0.04	-0.04697805	-0.04	-0.05975693	
4.1294	-0.05231007	-0.0469583	-0.04	-0.04697002	-0.04	-0.05975705	
4.1296	-0.05231807	-0.0469506	-0.04	-0.04696231	-0.04	-0.05975716	
4.1298	-0.05232671	-0.04694229	-0.04	-0.04695398	-0.04	-0.05975728	
4.13	-0.052335	-0.0469343	-0.04	-0.04694598	-0.04	-0.0597574	
4.1302	-0.05234297	-0.04692663	-0.04	-0.04693829	-0.04	-0.05975751	
4.1304	-0.05235158	-0.04691834	-0.04	-0.04692999	-0.04	-0.05975763	
4.1306	-0.05235984	-0.04691038	-0.04	-0.04692201	-0.04	-0.05975775	
4.1308	-0.05236779	-0.04690273	-0.04	-0.04691435	-0.04	-0.05975786	
4.131	-0.05237636	-0.04689447	-0.04	-0.04690608	-0.04	-0.05975798	
4.1312	-0.05238461	-0.04688653	-0.04	-0.04689813	-0.04	-0.05975809	
4.1314	-0.05239252	-0.04687891	-0.04	-0.04689049	-0.04	-0.0597582	
4.1316	-0.05240107	-0.04687068	-0.04	-0.04688224	-0.04	-0.05975832	
4.1318	-0.05240929	-0.04686277	-0.04	-0.04687432	-0.04	-0.05975844	
4.132	-0.05241718	-0.04685517	-0.04	-0.0468667	-0.04	-0.05975855	
4.1322	-0.0524257	-0.04684697	-0.04	-0.04685849	-0.04	-0.05975867	
4.1324	-0.05243389	-0.04683908	-0.04	-0.04685059	-0.04	-0.05975878	
4.1326	-0.05244175	-0.04683151	-0.04	-0.046843	-0.04	-0.05975889	
4.1328	-0.05245024	-0.04682333	-0.04	-0.04683481	-0.04	-0.05975901	
4.133	-0.0524584	-0.04681548	-0.04	-0.04682694	-0.04	-0.05975913	
4.1332	-0.05246624	-0.04680793	-0.04	-0.04681937	-0.04	-0.05975923	
4.1334	-0.05247471	-0.04679978	-0.04	-0.04681121	-0.04	-0.05975935	
4.1336	-0.05248284	-0.04679194	-0.04	-0.04680336	-0.04	-0.05975947	
4.1338	-0.05249065	-0.04678442	-0.04	-0.04679582	-0.04	-0.05975958	
4.134	-0.05249909	-0.0467763	-0.04	-0.04678769	-0.04	-0.0597597	
4.1342	-0.0525072	-0.04676849	-0.04	-0.04677987	-0.04	-0.05975981	
4.1344	-0.05251499	-0.04676099	-0.04	-0.04677235	-0.04	-0.05975991	
4.1346	-0.05252339	-0.0467529	-0.04	-0.04676424	-0.04	-0.05976003	
4.1348	-0.05253147	-0.04674512	-0.04	-0.04675645	-0.04	-0.05976015	
4.135	-0.05253923	-0.04673764	-0.04	-0.04674896	-0.04	-0.05976025	
4.1352	-0.05254762	-0.04672957	-0.04	-0.04674087	-0.04	-0.05976037	
4.1354	-0.05255567	-0.04672182	-0.04	-0.0467331	-0.04	-0.05976048	
4.1356	-0.0525634	-0.04671437	-0.04	-0.04672564	-0.04	-0.05976059	
4.1358	-0.05257176	-0.04670632	-0.04	-0.04671758	-0.04	-0.05976071	
4.136	-0.05257978	-0.04669859	-0.04	-0.04670984	-0.04	-0.05976082	
4.1362	-0.05258749	-0.04669117	-0.04	-0.0467024	-0.04	-0.05976093	
4.1364	-0.05259582	-0.04668315	-0.04	-0.04669437	-0.04	-0.05976105	
4.1366	-0.05260382	-0.04667544	-0.04	-0.04668665	-0.04	-0.05976116	
4.1368	-0.0526115	-0.04666805	-0.04	-0.04667924	-0.04	-0.05976126	
4.137	-0.0526198	-0.04666005	-0.04	-0.04667123	-0.04	-0.05976138	
4.1372	-0.05262778	-0.04665237	-0.04	-0.04666354	-0.04	-0.05976149	
4.1374	-0.05263544	-0.046645	-0.04	-0.04665615	-0.04	-0.0597616	
