Time	(15) Hip Ext II	(16) Hip Flx II	(17) Knee Ext II	(18) Knee Flx II	(19) Ankle Ext II	(20) Ankle Flx II	
0.0274	-0.05108047	-0.05106918	-0.05998327	-0.04008339	-0.05999385	-0.04008251	
0.0276	-0.05107902	-0.0510677	-0.05998327	-0.04008012	-0.05999384	-0.04007922	
0.0278	-0.05107762	-0.05106628	-0.05998327	-0.04007697	-0.05999383	-0.04007608	
0.028	-0.05107628	-0.05106492	-0.05998327	-0.04007396	-0.05999381	-0.04007305	
0.0282	-0.05107499	-0.0510636	-0.05998327	-0.04007106	-0.0599938	-0.04007014	
0.0284	-0.05107376	-0.05106234	-0.05998327	-0.04006827	-0.05999379	-0.04006734	
0.0286	-0.05107257	-0.05106113	-0.05998327	-0.04006559	-0.05999377	-0.04006466	
0.0288	-0.05107144	-0.05105997	-0.05998327	-0.04006302	-0.05999376	-0.04006208	
0.029	-0.05107034	-0.05105885	-0.05998327	-0.04006055	-0.05999375	-0.0400596	
0.0292	-0.05106929	-0.05105777	-0.05998327	-0.04005818	-0.05999374	-0.04005722	
0.0294	-0.05106829	-0.05105674	-0.05998327	-0.0400559	-0.05999373	-0.04005494	
0.0296	-0.05106732	-0.05105574	-0.05998328	-0.0400537	-0.05999371	-0.04005274	
0.0298	-0.05106639	-0.05105478	-0.05998328	-0.0400516	-0.0599937	-0.04005063	
0.03	-0.0510655	-0.05105386	-0.05998328	-0.04004958	-0.05999369	-0.04004861	
0.0302	-0.05106464	-0.05105298	-0.05998328	-0.04004763	-0.05999367	-0.04004666	
0.0304	-0.05106382	-0.05105213	-0.05998328	-0.04004576	-0.05999366	-0.04004479	
0.0306	-0.05106303	-0.05105131	-0.05998328	-0.04004397	-0.05999365	-0.04004299	
0.0308	-0.05106227	-0.05105052	-0.05998328	-0.04004224	-0.05999364	-0.04004127	
0.031	-0.05106154	-0.05104976	-0.05998329	-0.04004059	-0.05999362	-0.04003961	
0.0312	-0.05106085	-0.05104904	-0.05998329	-0.040039	-0.05999361	-0.04003802	
0.0314	-0.05106018	-0.05104834	-0.05998329	-0.04003747	-0.05999359	-0.04003649	
0.0316	-0.05105954	-0.05104766	-0.05998329	-0.040036	-0.05999358	-0.04003502	
0.0318	-0.05105892	-0.05104702	-0.0599833	-0.04003459	-0.05999357	-0.04003361	
0.032	-0.05105833	-0.0510464	-0.0599833	-0.04003323	-0.05999355	-0.04003226	
0.0322	-0.05105777	-0.0510458	-0.0599833	-0.04003193	-0.05999354	-0.04003096	
0.0324	-0.05105723	-0.05104522	-0.05998331	-0.04003068	-0.05999352	-0.0400297	
0.0326	-0.05105671	-0.05104467	-0.05998331	-0.04002947	-0.05999351	-0.04002851	
0.0328	-0.0510562	-0.05104413	-0.05998331	-0.04002832	-0.05999349	-0.04002735	
0.033	-0.05105573	-0.05104362	-0.05998331	-0.04002721	-0.05999348	-0.04002625	
0.0332	-0.05105526	-0.05104313	-0.05998331	-0.04002614	-0.05999347	-0.04002518	
0.0334	-0.05105482	-0.05104265	-0.05998331	-0.04002512	-0.05999346	-0.04002416	
0.0336	-0.0510544	-0.05104219	-0.05998332	-0.04002413	-0.05999344	-0.04002318	
0.0338	-0.05105399	-0.05104175	-0.05998332	-0.04002319	-0.05999342	-0.04002224	
0.034	-0.0510536	-0.05104133	-0.05998332	-0.04002228	-0.05999341	-0.04002133	
0.0342	-0.05105323	-0.05104091	-0.05998332	-0.0400214	-0.05999339	-0.04002046	
0.0344	-0.05105287	-0.05104052	-0.05998333	-0.04002056	-0.05999338	-0.04001963	
0.0346	-0.05105252	-0.05104014	-0.05998333	-0.04001976	-0.05999336	-0.04001883	
0.0348	-0.05105219	-0.05103977	-0.05998334	-0.04001898	-0.05999334	-0.04001806	
0.035	-0.05105188	-0.05103942	-0.05998334	-0.04001824	-0.05999333	-0.04001732	
0.0352	-0.05105158	-0.05103909	-0.05998334	-0.04001752	-0.05999331	-0.04001661	
0.0354	-0.05105129	-0.05103876	-0.05998335	-0.04001683	-0.05999329	-0.04001594	
0.0356	-0.05105101	-0.05103845	-0.05998335	-0.04001617	-0.05999327	-0.04001528	
0.0358	-0.05105074	-0.05103815	-0.05998335	-0.04001554	-0.05999326	-0.04001465	
0.036	-0.05105049	-0.05103786	-0.05998336	-0.04001493	-0.05999324	-0.04001405	
0.0362	-0.05105025	-0.05103757	-0.05998337	-0.04001435	-0.05999323	-0.04001348	
0.0364	-0.05105001	-0.0510373	-0.05998337	-0.04001378	-0.05999321	-0.04001292	
0.0366	-0.05104979	-0.05103704	-0.05998337	-0.04001324	-0.05999319	-0.04001239	
0.0368	-0.05104958	-0.05103679	-0.05998338	-0.04001272	-0.05999318	-0.04001188	
0.037	-0.05104937	-0.05103655	-0.05998338	-0.04001223	-0.05999316	-0.04001139	
0.0372	-0.05104918	-0.05103631	-0.05998339	-0.04001174	-0.05999314	-0.04001092	
0.0374	-0.05104899	-0.05103609	-0.05998339	-0.04001129	-0.05999313	-0.04001046	
0.0376	-0.05104881	-0.05103588	-0.05998339	-0.04001084	-0.05999311	-0.04001003	
0.0378	-0.05104864	-0.05103567	-0.05998339	-0.04001042	-0.0599931	-0.04000961	
0.038	-0.05104848	-0.05103546	-0.0599834	-0.04001001	-0.05999308	-0.04000922	
0.0382	-0.05104833	-0.05103527	-0.0599834	-0.04000962	-0.05999306	-0.04000883	
0.0384	-0.05104818	-0.05103508	-0.0599834	-0.04000924	-0.05999304	-0.04000847	
0.0386	-0.05104804	-0.0510349	-0.05998341	-0.04000888	-0.05999302	-0.04000811	
0.0388	-0.0510479	-0.05103473	-0.05998341	-0.04000853	-0.05999301	-0.04000777	
0.039	-0.05104777	-0.05103455	-0.05998341	-0.04000819	-0.05999299	-0.04000745	
0.0392	-0.05104765	-0.05103439	-0.05998342	-0.04000787	-0.05999297	-0.04000714	
0.0394	-0.05104753	-0.05103423	-0.05998342	-0.04000757	-0.05999295	-0.04000684	
0.0396	-0.05104742	-0.05103408	-0.05998342	-0.04000727	-0.05999294	-0.04000655	
0.0398	-0.05104731	-0.05103393	-0.05998343	-0.04000698	-0.05999291	-0.04000628	
0.04	-0.05104721	-0.05103379	-0.05998343	-0.04000671	-0.05999289	-0.04000601	
0.0402	-0.05104712	-0.05103365	-0.05998344	-0.04000645	-0.05999288	-0.04000576	
0.0404	-0.05104702	-0.05103351	-0.05998344	-0.04000619	-0.05999286	-0.04000552	
0.0406	-0.05104693	-0.05103339	-0.05998344	-0.04000595	-0.05999284	-0.04000529	
0.0408	-0.05104685	-0.05103326	-0.05998345	-0.04000572	-0.05999282	-0.04000506	
0.041	-0.05104677	-0.05103314	-0.05998345	-0.04000549	-0.0599928	-0.04000485	
0.0412	-0.0510467	-0.05103302	-0.05998345	-0.04000528	-0.05999279	-0.04000464	
0.0414	-0.05104663	-0.0510329	-0.05998346	-0.04000507	-0.05999276	-0.04000445	
0.0416	-0.05104656	-0.0510328	-0.05998346	-0.04000487	-0.05999275	-0.04000426	
0.0418	-0.05104649	-0.05103269	-0.05998347	-0.04000468	-0.05999273	-0.04000408	
0.042	-0.05104643	-0.05103258	-0.05998347	-0.0400045	-0.05999271	-0.04000391	
0.0422	-0.05104637	-0.05103249	-0.05998347	-0.04000432	-0.05999269	-0.04000374	
0.0424	-0.05104632	-0.05103239	-0.05998348	-0.04000415	-0.05999267	-0.04000358	
0.0426	-0.05104626	-0.0510323	-0.05998348	-0.04000399	-0.05999264	-0.04000343	
0.0428	-0.05104621	-0.0510322	-0.05998348	-0.04000383	-0.05999263	-0.04000329	
0.043	-0.05104616	-0.05103212	-0.05998348	-0.04000368	-0.0599926	-0.04000315	
0.0432	-0.05104612	-0.05103203	-0.05998349	-0.04000354	-0.05999259	-0.04000302	
0.0434	-0.05104608	-0.05103195	-0.05998349	-0.0400034	-0.05999257	-0.04000289	
0.0436	-0.05104604	-0.05103187	-0.0599835	-0.04000327	-0.05999255	-0.04000277	
0.0438	-0.051046	-0.05103178	-0.0599835	-0.04000314	-0.05999253	-0.04000265	
0.044	-0.05104597	-0.05103171	-0.0599835	-0.04000301	-0.05999251	-0.04000254	
0.0442	-0.05104593	-0.05103163	-0.05998351	-0.0400029	-0.05999249	-0.04000243	
0.0444	-0.0510459	-0.05103156	-0.05998351	-0.04000278	-0.05999247	-0.04000233	
0.0446	-0.05104588	-0.05103149	-0.05998351	-0.04000267	-0.05999244	-0.04000223	
0.0448	-0.05104585	-0.05103142	-0.05998352	-0.04000257	-0.05999242	-0.04000214	
0.045	-0.05104582	-0.05103135	-0.05998353	-0.04000247	-0.0599924	-0.04000205	
0.0452	-0.0510458	-0.05103128	-0.05998353	-0.04000237	-0.05999237	-0.04000197	
0.0454	-0.05104577	-0.05103122	-0.05998353	-0.04000228	-0.05999235	-0.04000189	
