Time	(21) S1i	(22) S2i	(23) S3i	(24) S4i	
0.043	-0.04763351	-0.05996685	-0.04762074	-0.04000377	
0.0432	-0.04763332	-0.05996686	-0.04762052	-0.04000362	
0.0434	-0.04763315	-0.05996687	-0.0476203	-0.04000347	
0.0436	-0.04763298	-0.05996687	-0.04762009	-0.04000334	
0.0438	-0.04763282	-0.05996688	-0.04761989	-0.04000321	
0.044	-0.04763266	-0.05996688	-0.0476197	-0.04000308	
0.0442	-0.04763251	-0.05996689	-0.04761951	-0.04000296	
0.0444	-0.04763237	-0.0599669	-0.04761933	-0.04000285	
0.0446	-0.04763224	-0.0599669	-0.04761916	-0.04000273	
0.0448	-0.04763211	-0.05996691	-0.04761899	-0.04000263	
0.045	-0.04763198	-0.05996691	-0.04761882	-0.04000252	
0.0452	-0.04763186	-0.05996692	-0.04761867	-0.04000242	
0.0454	-0.04763175	-0.05996693	-0.04761852	-0.04000233	
0.0456	-0.04763164	-0.05996694	-0.04761837	-0.04000224	
0.0458	-0.04763154	-0.05996694	-0.04761823	-0.04000215	
0.046	-0.04763144	-0.05996695	-0.04761809	-0.04000206	
0.0462	-0.04763135	-0.05996696	-0.04761796	-0.04000198	
0.0464	-0.04763126	-0.05996696	-0.04761783	-0.04000191	
0.0466	-0.04763118	-0.05996697	-0.04761771	-0.04000183	
0.0468	-0.0476311	-0.05996698	-0.04761759	-0.04000176	
0.047	-0.04763102	-0.05996699	-0.04761747	-0.04000169	
0.0472	-0.04763095	-0.05996699	-0.04761736	-0.04000162	
0.0474	-0.04763088	-0.059967	-0.04761725	-0.04000156	
0.0476	-0.04763081	-0.05996701	-0.04761715	-0.0400015	
0.0478	-0.04763075	-0.05996701	-0.04761705	-0.04000144	
0.048	-0.04763069	-0.05996702	-0.04761695	-0.04000138	
0.0482	-0.04763063	-0.05996703	-0.04761685	-0.04000133	
0.0484	-0.04763058	-0.05996704	-0.04761676	-0.04000128	
0.0486	-0.04763053	-0.05996704	-0.04761667	-0.04000123	
0.0488	-0.04763048	-0.05996706	-0.04761659	-0.04000118	
0.049	-0.04763043	-0.05996706	-0.0476165	-0.04000113	
0.0492	-0.04763039	-0.05996707	-0.04761642	-0.04000109	
0.0494	-0.04763035	-0.05996708	-0.04761634	-0.04000105	
0.0496	-0.04763031	-0.05996709	-0.04761626	-0.040001	
0.0498	-0.04763027	-0.0599671	-0.04761619	-0.04000096	
0.05	-0.04763024	-0.0599671	-0.04761611	-0.04000093	
0.0502	-0.04763021	-0.05996711	-0.04761604	-0.04000089	
0.0504	-0.04763018	-0.05996712	-0.04761598	-0.04000086	
0.0506	-0.04763015	-0.05996713	-0.04761591	-0.04000082	
0.0508	-0.04763012	-0.05996714	-0.04761584	-0.04000079	
0.051	-0.0476301	-0.05996715	-0.04761578	-0.04000076	
0.0512	-0.04763008	-0.05996716	-0.04761572	-0.04000073	
0.0514	-0.04763005	-0.05996716	-0.04761566	-0.0400007	
0.0516	-0.04763003	-0.05996718	-0.0476156	-0.04000067	
0.0518	-0.04763001	-0.05996718	-0.04761554	-0.04000065	
0.052	-0.04763	-0.05996719	-0.04761549	-0.04000062	
0.0522	-0.04762998	-0.0599672	-0.04761543	-0.0400006	
0.0524	-0.04762996	-0.05996721	-0.04761538	-0.04000057	
0.0526	-0.04762995	-0.05996722	-0.04761533	-0.04000055	
0.0528	-0.04762994	-0.05996723	-0.04761528	-0.04000053	
0.053	-0.04762993	-0.05996724	-0.04761523	-0.04000051	
0.0532	-0.04762992	-0.05996725	-0.04761518	-0.04000049	
0.0534	-0.04762991	-0.05996726	-0.04761514	-0.04000047	
0.0536	-0.0476299	-0.05996727	-0.04761509	-0.04000045	
0.0538	-0.04762989	-0.05996728	-0.04761505	-0.04000043	
0.054	-0.04762988	-0.05996729	-0.047615	-0.04000042	
0.0542	-0.04762988	-0.0599673	-0.04761496	-0.0400004	
0.0544	-0.04762987	-0.05996731	-0.04761492	-0.04000038	
0.0546	-0.04762987	-0.05996732	-0.04761488	-0.04000037	
0.0548	-0.04762986	-0.05996733	-0.04761484	-0.04000036	
0.055	-0.04762986	-0.05996734	-0.0476148	-0.04000034	
0.0552	-0.04762986	-0.05996735	-0.04761476	-0.04000033	
0.0554	-0.04762986	-0.05996736	-0.04761472	-0.04000032	
0.0556	-0.04762986	-0.05996737	-0.04761469	-0.0400003	
0.0558	-0.04762986	-0.05996738	-0.04761465	-0.04000029	
0.056	-0.04762986	-0.05996739	-0.04761462	-0.04000028	
0.0562	-0.04762986	-0.05996741	-0.04761458	-0.04000027	
0.0564	-0.04762986	-0.05996742	-0.04761455	-0.04000026	
0.0566	-0.04762986	-0.05996743	-0.04761452	-0.04000025	
0.0568	-0.04762986	-0.05996744	-0.04761449	-0.04000024	
0.057	-0.04762987	-0.05996745	-0.04761446	-0.04000023	
0.0572	-0.04762987	-0.05996747	-0.04761443	-0.04000022	
0.0574	-0.04762987	-0.05996748	-0.0476144	-0.04000021	
0.0576	-0.04762988	-0.05996749	-0.04761437	-0.0400002	
0.0578	-0.04762988	-0.0599675	-0.04761434	-0.04000019	
0.058	-0.04762989	-0.05996751	-0.04761431	-0.04000019	
0.0582	-0.04762989	-0.05996752	-0.04761428	-0.04000018	
0.0584	-0.0476299	-0.05996753	-0.04761425	-0.04000017	
0.0586	-0.0476299	-0.05996754	-0.04761422	-0.04000017	
0.0588	-0.04762991	-0.05996756	-0.0476142	-0.04000016	
0.059	-0.04762992	-0.05996757	-0.04761417	-0.04000015	
0.0592	-0.04762992	-0.05996758	-0.04761415	-0.04000015	
0.0594	-0.04762993	-0.05996759	-0.04761412	-0.04000014	
0.0596	-0.04762994	-0.0599676	-0.0476141	-0.04000014	
0.0598	-0.04762994	-0.05996761	-0.04761407	-0.04000013	
0.06	-0.04762995	-0.05996763	-0.04761405	-0.04000013	
0.0602	-0.04762996	-0.05996764	-0.04761402	-0.04000012	
0.0604	-0.04762997	-0.05996765	-0.047614	-0.04000011	
0.0606	-0.04762997	-0.05996766	-0.04761398	-0.04000011	
0.0608	-0.04762998	-0.05996767	-0.04761396	-0.04000011	
0.061	-0.04762999	-0.05996769	-0.04761393	-0.0400001	
0.0612	-0.04763	-0.0599677	-0.04761391	-0.0400001	
0.0614	-0.04763	-0.05996771	-0.04761389	-0.0400001	
0.0616	-0.04763002	-0.05996772	-0.04761387	-0.04000009	
0.0618	-0.04763002	-0.05996773	-0.04761385	-0.04000009	
0.062	-0.04763003	-0.05996774	-0.04761383	-0.04000008	
0.0622	-0.04763004	-0.05996776	-0.04761381	-0.04000008	
0.0624	-0.04763005	-0.05996777	-0.04761378	-0.04000008	
0.0626	-0.04763006	-0.05996778	-0.04761377	-0.04000007	
0.0628	-0.04763007	-0.05996779	-0.04761375	-0.04000007	
0.063	-0.04763008	-0.0599678	-0.04761373	-0.04000007	
0.0632	-0.04763008	-0.05996781	-0.04761371	-0.04000007	
0.0634	-0.04763009	-0.05996782	-0.04761369	-0.04000006	
0.0636	-0.0476301	-0.05996784	-0.04761367	-0.04000006	
0.0638	-0.04763011	-0.05996785	-0.04761365	-0.04000006	
0.064	-0.04763012	-0.05996786	-0.04761363	-0.04000005	
0.0642	-0.04763013	-0.05996788	-0.04761361	-0.04000005	
0.06439999	-0.04763014	-0.05996789	-0.04761359	-0.04000005	
0.0646	-0.04763015	-0.0599679	-0.04761358	-0.04000005	
0.0648	-0.04763015	-0.05996791	-0.04761356	-0.04000005	
0.065	-0.04763016	-0.05996792	-0.04761354	-0.04000005	
0.0652	-0.04763017	-0.05996794	-0.04761352	-0.04000004	
0.0654	-0.04763018	-0.05996795	-0.04761351	-0.04000004	
0.0656	-0.04763019	-0.05996796	-0.04761349	-0.04000004	
0.0658	-0.0476302	-0.05996798	-0.04761348	-0.04000004	
0.066	-0.04763021	-0.05996799	-0.04761346	-0.04000004	
0.0662	-0.04763021	-0.059968	-0.04761345	-0.04000004	
0.0664	-0.04763022	-0.05996802	-0.04761343	-0.04000004	
0.06659999	-0.04763023	-0.05996803	-0.04761342	-0.04000003	
0.0668	-0.04763024	-0.05996804	-0.0476134	-0.04000003	
0.067	-0.04763024	-0.05996805	-0.04761339	-0.04000003	
0.0672	-0.04763025	-0.05996807	-0.04761337	-0.04000003	
0.0674	-0.04763025	-0.05996808	-0.04761336	-0.04000003	
0.0676	-0.04763026	-0.05996809	-0.04761334	-0.04000003	
0.0678	-0.04763027	-0.0599681	-0.04761333	-0.04000003	
0.068	-0.04763027	-0.05996811	-0.04761331	-0.04000003	
0.0682	-0.04763027	-0.05996813	-0.0476133	-0.04000003	
0.0684	-0.04763028	-0.05996814	-0.04761329	-0.04000003	
0.0686	-0.04763028	-0.05996815	-0.04761327	-0.04000002	
0.06879999	-0.04763029	-0.05996817	-0.04761326	-0.04000002	
0.069	-0.04763029	-0.05996818	-0.04761325	-0.04000002	
0.0692	-0.0476303	-0.05996819	-0.04761324	-0.04000002	
0.0694	-0.0476303	-0.0599682	-0.04761323	-0.04000002	
0.0696	-0.0476303	-0.05996821	-0.04761321	-0.04000002	
0.0698	-0.0476303	-0.05996823	-0.0476132	-0.04000002	
0.07	-0.0476303	-0.05996824	-0.04761319	-0.04000002	
0.0702	-0.04763031	-0.05996825	-0.04761318	-0.04000002	
0.0704	-0.04763031	-0.05996826	-0.04761317	-0.04000001	
0.0706	-0.04763031	-0.05996827	-0.04761317	-0.04000001	
0.0708	-0.04763031	-0.05996829	-0.04761316	-0.04000001	
0.07099999	-0.04763031	-0.0599683	-0.04761315	-0.04000001	
0.0712	-0.04763031	-0.05996831	-0.04761314	-0.04000001	
0.0714	-0.04763031	-0.05996832	-0.04761314	-0.04000001	
0.0716	-0.04763031	-0.05996833	-0.04761313	-0.04000001	
0.0718	-0.04763031	-0.05996833	-0.04761312	-0.04000001	
0.072	-0.04763031	-0.05996834	-0.04761311	-0.04000001	
0.0722	-0.0476303	-0.05996835	-0.0476131	-0.04000001	
0.0724	-0.0476303	-0.05996836	-0.0476131	-0.04000001	
0.0726	-0.0476303	-0.05996837	-0.04761309	-0.04000001	
0.0728	-0.04763029	-0.05996838	-0.04761308	-0.04000001	
0.073	-0.04763029	-0.05996839	-0.04761308	-0.04000001	
0.07319999	-0.04763028	-0.0599684	-0.04761307	-0.04000001	
0.0734	-0.04763028	-0.05996841	-0.04761307	-0.04000001	
0.0736	-0.04763027	-0.05996842	-0.04761306	-0.04000001	
0.0738	-0.04763027	-0.05996843	-0.04761306	-0.04000001	
0.074	-0.04763026	-0.05996844	-0.04761305	-0.04	
0.0742	-0.04763025	-0.05996845	-0.04761305	-0.04	
0.0744	-0.04763024	-0.05996846	-0.04761304	-0.04	
0.0746	-0.04763024	-0.05996846	-0.04761304	-0.04	
0.0748	-0.04763023	-0.05996847	-0.04761304	-0.04	
0.075	-0.04763022	-0.05996848	-0.04761304	-0.04	
0.0752	-0.04763021	-0.05996849	-0.04761304	-0.04	
0.07539999	-0.0476302	-0.0599685	-0.04761304	-0.04	
0.0756	-0.04763019	-0.05996851	-0.04761304	-0.04	
0.0758	-0.04763018	-0.05996852	-0.04761304	-0.04	
0.076	-0.04763017	-0.05996853	-0.04761304	-0.04	
0.0762	-0.04763015	-0.05996854	-0.04761304	-0.04	
0.0764	-0.04763014	-0.05996855	-0.04761304	-0.04	
0.0766	-0.04763013	-0.05996855	-0.04761304	-0.04	
0.0768	-0.04763012	-0.05996856	-0.04761305	-0.04	
0.077	-0.0476301	-0.05996857	-0.04761305	-0.04	
0.0772	-0.04763009	-0.05996858	-0.04761305	-0.04	
0.0774	-0.04763007	-0.05996858	-0.04761305	-0.04	
0.07759999	-0.04763005	-0.05996859	-0.04761305	-0.04	
0.0778	-0.04763004	-0.05996859	-0.04761306	-0.04	
0.078	-0.04763002	-0.05996861	-0.04761306	-0.04	
0.0782	-0.04763	-0.05996861	-0.04761307	-0.04	
0.0784	-0.04762999	-0.05996862	-0.04761307	-0.04	
0.0786	-0.04762997	-0.05996863	-0.04761308	-0.04	
0.0788	-0.04762995	-0.05996864	-0.04761309	-0.04	
0.079	-0.04762993	-0.05996865	-0.0476131	-0.04	
0.0792	-0.04762991	-0.05996865	-0.0476131	-0.04	
0.0794	-0.04762989	-0.05996866	-0.04761311	-0.04	
0.0796	-0.04762987	-0.05996867	-0.04761312	-0.04	
0.07979999	-0.04762984	-0.05996867	-0.04761313	-0.04	
0.08	-0.04762982	-0.05996868	-0.04761314	-0.04	
0.0802	-0.0476298	-0.05996868	-0.04761315	-0.04	
0.0804	-0.04762978	-0.05996869	-0.04761316	-0.04	
0.0806	-0.04762975	-0.0599687	-0.04761317	-0.04	
0.0808	-0.04762973	-0.05996871	-0.04761317	-0.04	
0.081	-0.0476297	-0.05996871	-0.04761318	-0.04	
0.0812	-0.04762968	-0.05996872	-0.0476132	-0.04	
0.0814	-0.04762965	-0.05996873	-0.04761321	-0.04	
0.0816	-0.04762962	-0.05996874	-0.04761322	-0.04	
