Time	(5) Hip Bistable 1	(6) Knee Bistable 1	(7) Hip Bistable 2	(8) Knee Bistable 2	
7.7466	-0.03101028	-0.03972759	-0.06130929	-0.06084982	
7.7468	-0.03105163	-0.03972872	-0.06130647	-0.06084796	
7.747	-0.03109378	-0.03972986	-0.06130366	-0.0608461	
7.7472	-0.03113677	-0.03973099	-0.06130086	-0.06084425	
7.7474	-0.03118061	-0.03973211	-0.06129806	-0.06084239	
7.7476	-0.03122534	-0.03973323	-0.06129527	-0.06084055	
7.7478	-0.03127098	-0.03973435	-0.06129249	-0.06083871	
7.748	-0.03131756	-0.03973546	-0.06128971	-0.06083687	
7.7482	-0.0313651	-0.03973657	-0.06128694	-0.06083503	
7.7484	-0.03141365	-0.03973767	-0.06128417	-0.0608332	
7.7486	-0.03146322	-0.03973877	-0.06128141	-0.06083137	
7.7488	-0.03151386	-0.03973986	-0.06127865	-0.06082955	
7.749	-0.03156559	-0.03974095	-0.0612759	-0.06082773	
7.7492	-0.03161846	-0.03974203	-0.06127315	-0.06082591	
7.7494	-0.0316725	-0.03974311	-0.06127042	-0.0608241	
7.7496	-0.03172774	-0.03974418	-0.06126768	-0.06082229	
7.7498	-0.03178424	-0.03974525	-0.06126495	-0.06082049	
7.75	-0.03184202	-0.03974631	-0.06126223	-0.06081869	
7.7502	-0.03190115	-0.03974737	-0.06125951	-0.06081689	
7.7504	-0.03196165	-0.03974843	-0.0612568	-0.0608151	
7.7506	-0.03202359	-0.03974948	-0.06125409	-0.06081331	
7.7508	-0.03208701	-0.03975052	-0.06125139	-0.06081152	
7.751	-0.03215195	-0.03975156	-0.06124869	-0.06080974	
7.7512	-0.03221849	-0.0397526	-0.061246	-0.06080797	
7.7514	-0.03228667	-0.03975363	-0.06124332	-0.06080619	
7.7516	-0.03235656	-0.03975466	-0.06124064	-0.06080442	
7.7518	-0.03242822	-0.03975569	-0.06123796	-0.06080266	
7.752	-0.0325017	-0.0397567	-0.0612353	-0.0608009	
7.7522	-0.0325771	-0.03975772	-0.06123263	-0.06079913	
7.7524	-0.03265447	-0.03975873	-0.06122998	-0.06079738	
7.7526	-0.03273389	-0.03975974	-0.06122733	-0.06079563	
7.7528	-0.03281545	-0.03976074	-0.06122468	-0.06079388	
7.753	-0.03289922	-0.03976174	-0.06122204	-0.06079214	
7.7532	-0.0329853	-0.03976273	-0.0612194	-0.0607904	
7.7534	-0.03307377	-0.03976372	-0.06121677	-0.06078866	
7.7536	-0.03316474	-0.03976471	-0.06121415	-0.06078693	
7.7538	-0.0332583	-0.03976569	-0.06121152	-0.0607852	
7.754	-0.03335457	-0.03976666	-0.06120891	-0.06078347	
7.7542	-0.03345353	-0.03976764	-0.0612063	-0.06078175	
7.7544	-0.03355493	-0.03976861	-0.0612037	-0.06078003	
7.7546	-0.03365856	-0.03976957	-0.0612011	-0.06077832	
7.7548	-0.03376421	-0.03977053	-0.0611985	-0.06077661	
7.755	-0.03387169	-0.03977149	-0.06119592	-0.0607749	
7.7552	-0.03398082	-0.03977244	-0.06119333	-0.0607732	
7.7554	-0.03409144	-0.03977339	-0.06119075	-0.0607715	
7.7556	-0.03420338	-0.03977433	-0.06118818	-0.0607698	
7.7558	-0.03431652	-0.03977527	-0.06118562	-0.06076811	
7.756	-0.03443071	-0.03977621	-0.06118305	-0.06076642	
7.7562	-0.03454582	-0.03977714	-0.0611805	-0.06076474	
7.7564	-0.03466173	-0.03977806	-0.06117795	-0.06076305	
7.7566	-0.03477832	-0.03977899	-0.0611754	-0.06076138	
7.7568	-0.03489548	-0.03977991	-0.06117286	-0.0607597	
7.757	-0.03501311	-0.03978083	-0.06117032	-0.06075803	
7.7572	-0.03513111	-0.03978174	-0.0611678	-0.06075636	
7.7574	-0.03524938	-0.03978265	-0.06116527	-0.0607547	
7.7576	-0.03536783	-0.03978355	-0.06116275	-0.06075304	
7.7578	-0.03548639	-0.03978445	-0.06116023	-0.06075139	
7.758	-0.03560496	-0.03978535	-0.06115773	-0.06074973	
7.7582	-0.03572347	-0.03978624	-0.06115522	-0.06074808	
7.7584	-0.03584186	-0.03978713	-0.06115272	-0.06074644	
7.7586	-0.03596004	-0.03978802	-0.06115023	-0.06074479	
7.7588	-0.03607796	-0.0397889	-0.06114774	-0.06074315	
7.759	-0.03619555	-0.03978978	-0.06114525	-0.06074152	
7.7592	-0.03631276	-0.03979065	-0.06114277	-0.06073989	
7.7594	-0.03642952	-0.03979152	-0.0611403	-0.06073826	
7.7596	-0.03654579	-0.03979239	-0.06113783	-0.06073663	
7.7598	-0.03666151	-0.03979325	-0.06113537	-0.06073501	
7.76	-0.03677664	-0.03979411	-0.06113291	-0.06073339	
7.7602	-0.03689112	-0.03979497	-0.06113046	-0.06073178	
7.7604	-0.03700493	-0.03979582	-0.06112801	-0.06073017	
7.7606	-0.03711801	-0.03979667	-0.06112557	-0.06072856	
7.7608	-0.03723034	-0.03979751	-0.06112313	-0.06072696	
7.761	-0.03734186	-0.03979836	-0.06112069	-0.06072536	
7.7612	-0.03745256	-0.03979919	-0.06111826	-0.06072376	
7.7614	-0.03756239	-0.03980003	-0.06111584	-0.06072216	
7.7616	-0.03767134	-0.03980086	-0.06111342	-0.06072057	
7.7618	-0.03777936	-0.03980169	-0.06111101	-0.06071899	
7.762	-0.03788643	-0.03980251	-0.0611086	-0.0607174	
7.7622	-0.03799253	-0.03980333	-0.0611062	-0.06071582	
7.7624	-0.03809763	-0.03980415	-0.0611038	-0.06071425	
7.7626	-0.03820172	-0.03980497	-0.0611014	-0.06071267	
7.7628	-0.03830478	-0.03980577	-0.06109902	-0.0607111	
7.763	-0.03840677	-0.03980658	-0.06109663	-0.06070954	
7.7632	-0.0385077	-0.03980738	-0.06109425	-0.06070798	
7.7634	-0.03860753	-0.03980818	-0.06109188	-0.06070641	
7.7636	-0.03870626	-0.03980898	-0.06108951	-0.06070486	
7.7638	-0.03880388	-0.03980977	-0.06108715	-0.0607033	
7.764	-0.03890037	-0.03981056	-0.06108478	-0.06070175	
7.7642	-0.03899572	-0.03981135	-0.06108243	-0.06070021	
7.7644	-0.03908992	-0.03981213	-0.06108008	-0.06069867	
7.7646	-0.03918296	-0.03981291	-0.06107774	-0.06069713	
7.7648	-0.03927485	-0.03981369	-0.0610754	-0.06069559	
7.765	-0.03936556	-0.03981446	-0.06107306	-0.06069406	
7.7652	-0.03945509	-0.03981523	-0.06107073	-0.06069253	
7.7654	-0.03954344	-0.039816	-0.06106841	-0.060691	
7.7656	-0.0396306	-0.03981676	-0.06106609	-0.06068948	
7.7658	-0.03971658	-0.03981752	-0.06106377	-0.06068796	
7.766	-0.03980137	-0.03981828	-0.06106146	-0.06068644	
7.7662	-0.03988497	-0.03981903	-0.06105915	-0.06068493	
7.7664	-0.03996737	-0.03981978	-0.06105685	-0.06068341	
7.7666	-0.04004858	-0.03982053	-0.06105456	-0.06068191	
7.7668	-0.04012861	-0.03982127	-0.0610507	-0.0606804	
7.767	-0.04020744	-0.03982202	-0.06104437	-0.0606789	
7.7672	-0.04028508	-0.03982276	-0.06103573	-0.06067741	
7.7674	-0.04036154	-0.03982349	-0.06102492	-0.06067591	
7.7676	-0.04043682	-0.03982422	-0.06101205	-0.06067442	
7.7678	-0.04051092	-0.03982495	-0.06099724	-0.06067294	
7.768	-0.04058385	-0.03982568	-0.06098057	-0.06067145	
7.7682	-0.04065561	-0.0398264	-0.06096215	-0.06066997	
