Time	LH Force	LH_AnkleZ	LH_HipZ	LH_Knee	Pelvis	
0.0151	-0.05	-0.004253174	-0.005104267	-0.002746039	0.001723732	
0.0152	-0.05	-0.004253175	-0.005087854	-0.002746039	0.001791848	
0.0153	-0.05	-0.004253175	-0.005071256	-0.002746039	0.001852395	
0.0154	-0.05	-0.004253175	-0.005054552	-0.002746039	0.001905277	
0.0155	-0.05	-0.004253175	-0.005037821	-0.002746039	0.001950388	
0.0156	-0.05	-0.004253175	-0.005021147	-0.002746039	0.001987679	
0.0157	-0.05	-0.004253175	-0.00500461	-0.002746039	0.002017056	
0.0158	-0.05	-0.004253175	-0.004988292	-0.002746039	0.002038484	
0.0159	-0.05	-0.004253176	-0.004972276	-0.00274604	0.002051905	
0.016	-0.05	-0.004253176	-0.004956644	-0.00274604	0.002057307	
0.0161	-0.05	-0.004253176	-0.004941478	-0.00274604	0.002054665	
0.0162	-0.05	-0.004253176	-0.004926861	-0.00274604	0.002043978	
0.0163	-0.05	-0.004253176	-0.004912874	-0.00274604	0.002025241	
0.0164	-0.05	-0.004253176	-0.004899599	-0.00274604	0.0019985	
0.0165	-0.05	-0.004253176	-0.004887116	-0.00274604	0.001963773	
0.0166	-0.05	-0.004253176	-0.004875505	-0.00274604	0.001921097	
0.0167	-0.05	-0.004253177	-0.004864846	-0.00274604	0.001870534	
0.0168	-0.05	-0.004253177	-0.004855216	-0.00274604	0.001812181	
0.0169	-0.05	-0.004253177	-0.004846693	-0.00274604	0.001746078	
0.017	-0.05	-0.004253177	-0.004839353	-0.00274604	0.001672345	
0.0171	-0.05	-0.004253177	-0.004833269	-0.00274604	0.001637015	
0.0172	-0.05	-0.004253177	-0.004828403	-0.00274604	0.001548345	
0.0173	-0.05	-0.004253177	-0.004824937	-0.002746041	0.001452379	
0.0174	-0.05	-0.004253177	-0.004822942	-0.002746041	0.001349279	
0.0175	-0.05	-0.004253177	-0.004822487	-0.002746041	0.001239189	
0.0176	-0.05	-0.004253177	-0.004823635	-0.002746041	0.001122277	
0.0177	-0.05	-0.004253177	-0.004826452	-0.002746041	0.0009987094	
0.0178	-0.05	-0.004253177	-0.004830999	-0.002746041	0.0008664541	
0.0179	-0.05	-0.004253177	-0.00483732	-0.002746041	0.0007245893	
0.018	-0.05	-0.004253178	-0.004845448	-0.002746041	0.0005735402	
0.0181	-0.05	-0.004253178	-0.004855416	-0.002746042	0.0004136887	
0.0182	-0.05	-0.004253178	-0.004867252	-0.002746042	0.0002454947	
0.0183	-0.05	-0.004253178	-0.004880986	-0.002746042	6.938341E-05	
0.0184	-0.05	-0.004253178	-0.004896643	-0.002746042	-0.0001141908	
0.0185	-0.05	-0.004253178	-0.004914247	-0.002746042	-0.0003052189	
0.0186	-0.05	-0.004253178	-0.004933816	-0.002746042	-0.0005031758	
0.0187	-0.05	-0.004253178	-0.004955366	-0.002746042	-0.0007075886	
0.0188	-0.05	-0.004253179	-0.004978911	-0.002746043	-0.000917907	
0.0189	-0.05	-0.004253179	-0.005004462	-0.002746043	-0.001133534	
0.019	-0.05	-0.004253179	-0.005032029	-0.002746043	-0.001353932	
0.0191	-0.05	-0.004253179	-0.005061618	-0.002746043	-0.00157853	
0.0192	-0.05	-0.004253179	-0.005093233	-0.002746043	-0.001806755	
0.0193	-0.05	-0.004253179	-0.005126877	-0.002746043	-0.002037992	
0.0194	-0.05	-0.004253179	-0.005162548	-0.002746043	-0.002271664	
0.0195	-0.05	-0.004253179	-0.005200244	-0.002746043	-0.002507171	
0.0196	-0.05	-0.00425318	-0.005239959	-0.002746043	-0.002743913	
0.0197	-0.05	-0.00425318	-0.005281687	-0.002746044	-0.002981284	
0.0198	-0.05	-0.00425318	-0.005325415	-0.002746044	-0.00321869	
0.0199	-0.05	-0.00425318	-0.005371132	-0.002746044	-0.003455547	
0.02	-0.05	-0.00425318	-0.005418823	-0.002746044	-0.00369124	
0.0201	-0.05	-0.00425318	-0.005468469	-0.002746044	-0.003925218	
0.0202	-0.05	-0.00425318	-0.005520052	-0.002746044	-0.004156867	
0.0203	-0.05	-0.00425318	-0.005573549	-0.002746044	-0.004385649	
0.0204	-0.05	-0.00425318	-0.005628936	-0.002746045	-0.004610978	
0.0205	-0.05	-0.004253181	-0.005686185	-0.002746045	-0.004832332	
0.0206	-0.05	-0.004253181	-0.005745268	-0.002746045	-0.005049186	
0.0207	-0.05	-0.004253181	-0.005806154	-0.002746045	-0.005261018	
0.0208	-0.05	-0.004253181	-0.005868809	-0.002746045	-0.005467339	
0.0209	-0.05	-0.004253181	-0.005933199	-0.002746045	-0.005667691	
0.021	-0.05	-0.004253181	-0.005999287	-0.002746046	-0.005861564	
0.0211	-0.05	-0.004253181	-0.006067032	-0.002746046	-0.006048551	
0.0212	-0.05	-0.004253181	-0.006136395	-0.002746046	-0.00622822	
0.0213	-0.05	-0.004253181	-0.006207332	-0.002746046	-0.006400173	
0.0214	-0.05	-0.004253182	-0.006279798	-0.002746046	-0.006564066	
0.0215	-0.05	-0.004253182	-0.006353749	-0.002746046	-0.006719515	
0.0216	-0.05	-0.004253182	-0.006429137	-0.002746046	-0.006866222	
0.0217	-0.05	-0.004253182	-0.006505912	-0.002746047	-0.007003883	
0.0218	-0.05	-0.004253182	-0.006584024	-0.002746047	-0.007132228	
0.0219	-0.05	-0.004253182	-0.006663421	-0.002746047	-0.007251009	
0.022	-0.05	-0.004253182	-0.006744052	-0.002746047	-0.007360012	
0.0221	-0.05	-0.004253182	-0.006825861	-0.002746047	-0.007459027	
0.0222	-0.05	-0.004253182	-0.006908795	-0.002746047	-0.007547923	
0.0223	-0.05	-0.004253183	-0.006992797	-0.002746047	-0.007626573	
0.0224	-0.05	-0.004253183	-0.007077811	-0.002746047	-0.007694825	
0.0225	-0.05	-0.004253183	-0.00716378	-0.002746047	-0.007752641	
0.0226	-0.05	-0.004253183	-0.007250646	-0.002746048	-0.007799962	
0.0227	-0.05	-0.004253183	-0.00733835	-0.002746048	-0.007836781	
0.0228	-0.05	-0.004253183	-0.007426835	-0.002746048	-0.007863113	
0.0229	-0.05	-0.004253183	-0.00751604	-0.002746048	-0.007878991	
0.023	-0.05	-0.004253183	-0.007605908	-0.002746048	-0.007884494	
0.0231	-0.05	-0.004253183	-0.007696378	-0.002746048	-0.007879668	
0.0232	-0.05	-0.004253183	-0.007787392	-0.002746048	-0.00786468	
0.0233	-0.05	-0.004253183	-0.007878889	-0.002746049	-0.007839641	
0.0234	-0.05	-0.004253183	-0.007970812	-0.002746049	-0.007804756	
0.0235	-0.05	-0.004253183	-0.008063101	-0.002746049	-0.007760219	
0.0236	-0.05	-0.004253184	-0.008155699	-0.002746049	-0.007706215	
0.0237	-0.05	-0.004253184	-0.008248546	-0.002746049	-0.007643044	
0.0238	-0.05	-0.004253184	-0.008341587	-0.002746049	-0.007570948	
0.0239	-0.05	-0.004253184	-0.008434764	-0.002746049	-0.007490225	
0.024	-0.05	-0.004253184	-0.00852802	-0.00274605	-0.007401199	
0.0241	-0.05	-0.004253184	-0.008621302	-0.00274605	-0.007304163	
0.0242	-0.05	-0.004253184	-0.008714555	-0.00274605	-0.00719949	
0.0243	-0.05	-0.004253184	-0.008807724	-0.00274605	-0.007087566	
0.0244	-0.05	-0.004253184	-0.008900759	-0.00274605	-0.006968738	
0.0245	-0.05	-0.004253185	-0.008993606	-0.00274605	-0.006843446	
0.0246	-0.05	-0.004253185	-0.009086218	-0.00274605	-0.006712062	
0.0247	-0.05	-0.004253185	-0.009178543	-0.00274605	-0.006575052	
0.0248	-0.05	-0.004253185	-0.009270535	-0.00274605	-0.006432801	
0.0249	-0.05	-0.004253185	-0.009362146	-0.00274605	-0.006285775	
0.025	-0.05	-0.004253185	-0.009453332	-0.002746051	-0.006134452	
0.0251	-0.05	-0.004253185	-0.00954405	-0.002746051	-0.005979271	
0.0252	-0.05	-0.004253185	-0.009634256	-0.002746051	-0.005820712	
0.0253	-0.05	-0.004253185	-0.00972391	-0.002746051	-0.005659242	
0.0254	-0.05	-0.004253186	-0.009812973	-0.002746051	-0.00549535	
0.0255	-0.05	-0.004253186	-0.009901405	-0.002746051	-0.005329479	
0.0256	-0.05	-0.004253186	-0.009989173	-0.002746051	-0.005162125	
0.0257	-0.05	-0.004253186	-0.01007624	-0.002746052	-0.00499376	
0.0258	-0.05	-0.004253186	-0.01016257	-0.002746052	-0.004824871	
0.0259	-0.05	-0.004253186	-0.01024814	-0.002746052	-0.004655906	
0.026	-0.05	-0.004253186	-0.01033291	-0.002746052	-0.004487327	
0.0261	-0.05	-0.004253186	-0.01041686	-0.002746052	-0.004319598	
0.0262	-0.05	-0.004253186	-0.01049996	-0.002746052	-0.004153198	
0.0263	-0.05	-0.004253187	-0.01058219	-0.002746052	-0.003988524	
0.0264	-0.05	-0.004253187	-0.01066351	-0.002746053	-0.003826028	
0.0265	-0.05	-0.004253187	-0.01074391	-0.002746053	-0.003666122	
0.0266	-0.05	-0.004253187	-0.01082338	-0.002746053	-0.003509218	
0.0267	-0.05	-0.004253187	-0.01090188	-0.002746053	-0.003355706	
0.0268	-0.05	-0.004253187	-0.0109794	-0.002746053	-0.003205974	
0.0269	-0.05	-0.004253187	-0.01105593	-0.002746053	-0.003060397	
0.027	-0.05	-0.004253187	-0.01113145	-0.002746053	-0.002919277	
0.0271	-0.05	-0.004253188	-0.01120596	-0.002746054	-0.002782973	
0.0272	-0.05	-0.004253188	-0.01127943	-0.002746054	-0.00265181	
0.0273	-0.05	-0.004253188	-0.01135185	-0.002746054	-0.002526034	
0.0274	-0.05	-0.004253188	-0.01142323	-0.002746054	-0.002405957	
0.0275	-0.05	-0.004253188	-0.01149355	-0.002746054	-0.002291842	
0.0276	-0.05	-0.004253188	-0.0115628	-0.002746054	-0.002183892	
0.0277	-0.05	-0.004253188	-0.01163099	-0.002746054	-0.002082332	
0.0278	-0.05	-0.004253188	-0.0116981	-0.002746055	-0.001987341	
0.0279	-0.05	-0.004253188	-0.01176413	-0.002746055	-0.001899126	
0.028	-0.05	-0.004253189	-0.01182909	-0.002746055	-0.001817799	
0.0281	-0.05	-0.004253189	-0.01189297	-0.002746055	-0.004091013	
0.0282	-0.05	-0.004253189	-0.01193871	-0.002746055	-0.004093551	
0.0283	-0.05	-0.004253189	-0.0119829	-0.002746055	-0.004114824	
0.0284	-0.05	-0.004253189	-0.01202537	-0.002746055	-0.004067647	
0.0285	-0.05	-0.004253189	-0.01206623	-0.002746056	-0.004009371	
0.0286	-0.05	-0.004253189	-0.0121055	-0.002746056	-0.003949733	
0.0287	-0.05	-0.004253189	-0.01214316	-0.002746056	-0.003888764	
0.0288	-0.05	-0.004253189	-0.0121792	-0.002746056	-0.003826549	
0.0289	-0.05	-0.00425319	-0.0122136	-0.002746057	-0.00376314	
0.029	-0.05	-0.00425319	-0.01224637	-0.002746057	-0.003698608	
0.0291	-0.05	-0.00425319	-0.01227748	-0.002746057	-0.003633013	
0.0292	-0.05	-0.00425319	-0.01230693	-0.002746057	-0.003566433	
0.0293	-0.05	-0.00425319	-0.01233471	-0.002746057	-0.003498929	
0.0294	-0.05	-0.00425319	-0.01236083	-0.002746057	-0.00343056	
0.0295	-0.05	-0.00425319	-0.01238526	-0.002746058	-0.003362302	
0.0296	-0.05	-0.00425319	-0.01240809	-0.002746223	-0.003294377	
0.0297	-0.05	-0.00425319	-0.01242939	-0.002746749	-0.003226905	
0.0298	-0.05	-0.00425319	-0.01244926	-0.002747837	-0.003159958	
0.0299	-0.05	-0.00425319	-0.01246777	-0.002749693	-0.003093673	
0.03	-0.05	-0.00425319	-0.01248502	-0.002752531	-0.003028114	
0.0301	-0.05	-0.004253191	-0.01250112	-0.002756566	-0.002963393	
0.0302	-0.05	-0.004253191	-0.01251615	-0.002762019	-0.002899532	
0.0303	-0.05	-0.004253191	-0.01253022	-0.002769107	-0.002836678	
0.0304	-0.05	-0.004253191	-0.01254342	-0.002778057	-0.002774858	
0.0305	-0.05	-0.004253191	-0.01255587	-0.00278909	-0.002714158	
0.0306	-0.05	-0.004253191	-0.01256766	-0.00280243	-0.002654595	
0.0307	-0.05	-0.004253191	-0.0125789	-0.002818296	-0.00259625	
0.0308	-0.05	-0.004253191	-0.01258969	-0.002836908	-0.00253916	
0.0309	-0.05	-0.004253191	-0.01260014	-0.002858483	-0.002483377	
0.031	-0.05	-0.004253192	-0.01261034	-0.002883235	-0.002428905	
