V2,y,y,y,y,y,y
127,0,450,0,450,0,450
128,0,450,0,450,0,450
129,0,450,0,450,0,450
130,0,450,0,450,0,450
131,0,450,0,450,0,450
132,0,450,0,450,0,450
133,0,450,0,450,0,450
134,0,450,0,450,0,450
135,0,450,0,450,0,450
136,0,450,0,450,0,450
137,0,450,0,450,0,450
138,0,450,0,450,0,450
139,0,450,0,450,0,450
140,0,450,0,450,0,450
141,0,450,0,450,0,450
142,0,450,0,450,0,450
143,0,450,0,450,0,450
144,0,450,0,450,0,450
145,0,450,0,450,0,450
146,0,450,0,450,0,450
147,0,450,0,450,0,450
148,0,450,0,450,0,450
149,0,450,0,450,0,450
150,0,450,0,450,0,450
151,0,450,0,450,0,450
152,0,450,0,450,0,450
153,0,450,0,450,0,450
154,0,450,0,450,0,450
155,0,450,0,450,0,450
156,0,450,0,450,0,450
157,0,450,0,450,0,450
158,0,450,0,450,0,450
159,0,450,0,450,0,450
160,0,450,0,450,0,450
161,0,450,0,450,0,450
162,0,450,0,450,0,450
163,0,450,0,450,0,450
164,0,450,0,450,0,450
165,0,450,0,450,0,450
166,0,450,0,450,0,450
167,0,450,0,450,0,450
168,0,450,0,450,0,450
169,0,450,0,450,0,450
170,0,450,0,450,0,450
171,0,450,0,450,0,450
172,0,450,0,450,0,450
173,0,450,0,450,0,450
174,0,450,0,450,0,450
175,0,450,0,450,0,450
176,0,450,0,450,0,450
177,0,450,0,450,0,450
178,0,450,0,450,0,450
179,0,450,0,450,0,450
180,0,450,0,450,0,450
181,0,450,0,450,0,450
182,0,450,0,450,0,450
183,0,450,0,450,0,450
184,0,450,0,450,0,450
185,0,450,0,450,0,450
186,0,450,0,450,0,450
187,0,450,0,450,0,450
188,0,450,0,450,0,450
189,0,450,0,450,0,450
190,0,450,0,450,0,450
191,0,450,0,450,0,450
192,0,450,0,450,0,450
193,0,450,0,450,0,450
194,0,450,0,450,0,450
195,0,450,0,450,0,450
196,0,450,0,450,0,450
197,0,450,0,450,0,450
198,0,450,0,450,0,450
199,0,450,0,450,0,450
200,0,450,0,450,0,450
201,0,450,0,450,0,450
202,0,450,0,450,0,450
203,0,450,0,450,0,450
204,0,450,0,450,0,450
205,0,450,0,450,0,450
206,0,450,0,450,0,450
207,0,450,0,450,0,450
208,0,450,0,450,0,450
209,0,450,0,450,0,450
210,0,450,0,450,0,450
211,0,450,0,450,0,450
212,0,450,0,450,0,450
213,0,450,0,450,0,450
214,0,450,0,450,0,450
215,0,450,0,450,0,450
216,0,450,0,450,0,450
217,0,450,0,450,0,450
218,0,450,0,450,0,450
219,0,450,0,450,0,450
220,0,450,0,450,0,450
221,0,450,0,450,0,450
222,0,450,0,450,0,450
223,0,450,0,450,0,450
224,0,450,0,450,0,450
225,0,450,0,450,0,450
226,0,450,0,450,0,450
227,0,450,0,450,0,450
228,0,450,0,450,0,450
229,0,450,0,450,0,450
230,0,450,0,450,0,450
231,0,450,0,450,0,450
232,0,450,0,450,0,450
233,0,450,0,450,0,450
234,0,450,0,450,0,450
235,0,450,0,450,0,450
236,0,450,0,450,0,450
237,0,450,0,450,0,450
238,0,450,0,450,0,450
239,0,450,0,450,0,450
240,0,450,0,450,0,450
241,0,450,0,450,0,450
242,0,450,0,450,0,450
243,0,450,0,450,0,450
244,0,450,0,450,0,450
245,0,450,0,450,0,450
246,0,450,0,450,0,450
247,0,450,0,450,0,450
248,0,450,0,450,0,450
249,0,450,0,450,0,450
250,0,450,0,450,0,450
251,0,450,0,450,0,450
252,0,450,0,450,0,450
253,0,450,0,450,0,450
254,0,450,0,450,0,450
255,0,450,0,450,0,450
256,0,450,0,450,0,450
257,0,450,0,450,0,450
258,0,450,0,450,0,450
259,0,450,0,450,0,450
260,0,450,0,450,0,450
261,0,450,0,450,0,450
262,0,450,0,450,0,450
263,0,450,0,450,0,450
264,0,450,0,450,0,450
265,0,450,0,450,0,450
266,0,450,0,450,0,450
267,0,450,0,450,0,450
268,0,450,0,450,0,450
269,0,450,0,450,0,450
270,0,450,0,450,0,450
271,0,450,0,450,0,450
272,0,450,0,450,0,450
273,0,450,0,450,0,450
274,0,450,0,450,0,450
275,0,450,0,450,0,450
276,0,450,0,450,0,450
277,0,450,0,450,0,450
278,0,450,0,450,0,450
279,0,450,0,450,0,450
280,0,450,0,450,0,450
281,0,450,0,450,0,450
282,0,450,0,450,0,450
283,0,450,0,450,0,450
284,0,450,0,450,0,450
285,0,450,0,450,0,450
286,0,450,0,450,0,450
287,0,450,0,450,0,450
288,0,450,0,450,0,450
289,0,450,0,450,0,450
290,0,450,0,450,0,450
291,0,450,0,450,0,450
292,0,450,0,450,0,450
293,0,450,0,450,0,450
294,0,450,0,450,0,450
295,0,450,0,450,0,450
296,0,450,0,450,0,450
297,0,450,0,450,0,450
298,0,450,0,450,0,450
299,0,450,0,450,0,450
300,0,450,0,450,0,450
301,0,450,0,450,0,450
302,0,450,0,450,0,450
303,0,450,0,450,0,450
304,0,450,0,450,0,450
305,0,450,0,450,0,450
306,0,450,0,450,0,450
307,0,450,0,450,0,450
308,0,450,0,450,0,450
309,0,450,0,450,0,450
310,0,450,0,450,0,450
311,0,450,0,450,0,450
312,0,450,0,450,0,450
313,0,450,0,450,0,450
314,0,450,0,450,0,450
315,0,450,0,450,0,450
316,0,450,0,450,0,450
317,0,450,0,450,0,450
318,0,450,0,450,0,450
319,0,450,0,450,0,450
320,0,450,0,450,0,450
321,0,450,0,450,0,450
322,0,450,0,450,0,450
323,0,450,0,450,0,450
324,0,450,0,450,0,450
325,0,450,0,450,0,450
326,0,450,0,450,0,450
327,0,450,0,450,0,450
328,0,450,0,450,0,450
329,0,450,0,450,0,450
330,0,450,0,450,0,450
331,0,450,0,450,0,450
332,0,450,0,450,0,450
333,0,450,0,450,0,450
334,0,450,0,450,0,450
335,0,450,0,450,0,450
336,0,450,0,450,0,450
337,0,450,0,450,0,450
338,0,450,0,450,0,450
339,0,450,0,450,0,450
340,0,450,0,450,0,450
341,0,450,0,450,0,450
342,0,450,0,450,0,450
343,0,450,0,450,0,450
344,0,450,0,450,0,450
345,0,450,0,450,0,450
346,0,450,0,450,0,450
347,0,450,0,450,0,450
348,0,450,0,450,0,450
349,0,450,0,450,0,450
350,0,450,0,450,0,450
351,0,450,0,450,0,450
352,0,450,0,450,0,450
353,0,450,0,450,0,450
354,0,450,0,450,0,450
355,0,450,0,450,0,450
356,0,450,0,450,0,450
357,0,450,0,450,0,450
358,0,450,0,450,0,450
359,0,450,0,450,0,450
360,0,450,0,450,0,450
361,0,450,0,450,0,450
362,0,450,0,450,0,450
363,0,450,0,450,0,450
364,0,450,0,450,0,450
365,0,450,0,450,0,450
366,0,450,0,450,0,450
367,0,450,0,450,0,450
368,0,450,0,450,0,450
369,0,450,0,450,0,450
370,0,450,0,450,0,450
371,0,450,0,450,0,450
372,0,450,0,450,0,450
373,0,450,0,450,0,450
374,0,450,0,450,0,450
375,0,450,0,450,0,450
376,0,450,0,450,0,450
377,0,450,0,450,0,450
378,0,450,0,450,0,450
379,0,450,0,450,0,450
380,0,450,0,450,0,450
381,0,450,0,450,0,450
382,0,450,0,450,0,450
383,0,450,0,450,0,450
384,0,450,0,450,0,450
385,0,450,0,450,0,450
386,0,450,0,450,0,450
387,0,450,0,450,0,450
388,0,450,0,450,0,450
389,0,450,0,450,0,450
390,0,450,0,450,0,450
391,0,450,0,450,0,450
392,0,450,0,450,0,450
393,0,450,0,450,0,450
394,0,450,0,450,0,450
395,0,450,0,450,0,450
396,0,450,0,450,0,450
397,0,450,0,450,0,450
398,0,450,0,450,0,450
399,0,450,0,450,0,450
