Time	(5) Hip Bistable 1	(6) Knee Bistable 1	(7) Hip Bistable 2	(8) Knee Bistable 2	
9.0322	-0.04000002	-0.06005796	-0.06001001	-0.0399974	
9.0324	-0.04000002	-0.06005784	-0.06001001	-0.03999741	
9.032599	-0.04000002	-0.06005773	-0.06001001	-0.03999742	
9.0328	-0.04000002	-0.06005762	-0.06001001	-0.03999743	
9.033	-0.04000002	-0.06005751	-0.06001001	-0.03999744	
9.033199	-0.04000002	-0.0600574	-0.06001001	-0.03999745	
9.0334	-0.04000002	-0.06005729	-0.06001001	-0.03999746	
9.0336	-0.04000002	-0.06005718	-0.06001001	-0.03999747	
9.0338	-0.04000002	-0.06005707	-0.06001001	-0.03999748	
9.033999	-0.04000002	-0.06005697	-0.06001001	-0.0399975	
9.0342	-0.04000002	-0.06005685	-0.06001001	-0.03999751	
9.0344	-0.04000002	-0.06005675	-0.06001001	-0.03999751	
9.034599	-0.04000002	-0.06005664	-0.06001001	-0.03999753	
9.0348	-0.04000002	-0.06005653	-0.06001001	-0.03999754	
9.035	-0.04000002	-0.06005642	-0.06001001	-0.03999755	
9.0352	-0.04000002	-0.06005631	-0.06001001	-0.03999756	
9.035399	-0.04000002	-0.06005621	-0.06001001	-0.03999757	
9.0356	-0.04000002	-0.0600561	-0.06001001	-0.03999758	
9.0358	-0.04000002	-0.06005599	-0.06001001	-0.03999759	
9.035999	-0.04000002	-0.06005589	-0.06001001	-0.0399976	
9.0362	-0.04000002	-0.06005578	-0.06001001	-0.03999761	
9.0364	-0.04000002	-0.06005568	-0.06001001	-0.03999761	
9.0366	-0.04000002	-0.06005557	-0.06001001	-0.03999763	
9.036799	-0.04000002	-0.06005546	-0.06001001	-0.03999764	
9.037	-0.04000002	-0.06005536	-0.06001001	-0.03999764	
9.0372	-0.04000002	-0.06005525	-0.06001001	-0.03999766	
9.0374	-0.04000002	-0.06005515	-0.06001001	-0.03999766	
9.0376	-0.04000002	-0.06005504	-0.06001001	-0.03999767	
9.0378	-0.04000002	-0.06005494	-0.06001001	-0.03999769	
9.038	-0.04000002	-0.06005483	-0.06001001	-0.03999769	
9.038199	-0.04000002	-0.06005473	-0.06001001	-0.0399977	
9.0384	-0.04000002	-0.06005463	-0.06001001	-0.03999771	
9.0386	-0.04000002	-0.06005453	-0.06001001	-0.03999772	
