Time	(21) BR S1i	(22) BR S2i	(23) BR S3i	(24) BR S4i	
0.0362	-0.06017631	-0.060025	-0.05982369	-0.059975	
0.0364	-0.06017769	-0.06002519	-0.05982231	-0.05997481	
0.0366	-0.06017907	-0.06002539	-0.05982093	-0.05997461	
0.0368	-0.06018048	-0.06002559	-0.05981952	-0.05997441	
0.037	-0.06018189	-0.06002579	-0.05981811	-0.05997421	
0.0372	-0.06018332	-0.06002599	-0.05981668	-0.05997401	
0.0374	-0.06018476	-0.06002619	-0.05981524	-0.05997381	
0.0376	-0.06018621	-0.0600264	-0.05981379	-0.0599736	
0.0378	-0.06018768	-0.06002661	-0.05981232	-0.05997339	
0.038	-0.06018917	-0.06002682	-0.05981083	-0.05997318	
0.0382	-0.06019067	-0.06002703	-0.05980933	-0.05997297	
0.0384	-0.06019218	-0.06002724	-0.05980782	-0.05997276	
0.0386	-0.06019371	-0.06002746	-0.05980629	-0.05997254	
0.0388	-0.06019525	-0.06002768	-0.05980475	-0.05997232	
0.039	-0.06019681	-0.0600279	-0.05980319	-0.0599721	
0.0392	-0.06019839	-0.06002812	-0.05980161	-0.05997188	
0.0394	-0.06019998	-0.06002835	-0.05980002	-0.05997165	
0.0396	-0.06020158	-0.06002858	-0.05979842	-0.05997143	
0.0398	-0.06020321	-0.0600288	-0.05979679	-0.05997119	
0.04	-0.06020485	-0.06002904	-0.05979515	-0.05997096	
0.0402	-0.0602065	-0.06002927	-0.0597935	-0.05997073	
0.0404	-0.06020818	-0.06002951	-0.05979182	-0.05997049	
0.0406	-0.06020987	-0.06002975	-0.05979013	-0.05997026	
0.0408	-0.06021157	-0.06002999	-0.05978843	-0.05997001	
0.041	-0.0602133	-0.06003023	-0.0597867	-0.05996977	
0.0412	-0.06021504	-0.06003048	-0.05978496	-0.05996952	
0.0414	-0.0602168	-0.06003072	-0.0597832	-0.05996928	
0.0416	-0.06021858	-0.06003098	-0.05978142	-0.05996902	
0.0418	-0.06022038	-0.06003123	-0.05977963	-0.05996877	
0.042	-0.06022219	-0.06003148	-0.05977781	-0.05996851	
0.0422	-0.06022402	-0.06003175	-0.05977598	-0.05996826	
0.0424	-0.06022587	-0.06003201	-0.05977412	-0.05996799	
0.0426	-0.06022774	-0.06003227	-0.05977226	-0.05996773	
0.0428	-0.06022963	-0.06003254	-0.05977037	-0.05996746	
0.043	-0.06023154	-0.06003281	-0.05976846	-0.05996719	
0.0432	-0.06023347	-0.06003308	-0.05976653	-0.05996692	
0.0434	-0.06023542	-0.06003335	-0.05976458	-0.05996664	
0.0436	-0.06023739	-0.06003363	-0.05976261	-0.05996637	
0.0438	-0.06023937	-0.06003391	-0.05976063	-0.05996609	
0.044	-0.06024138	-0.0600342	-0.05975862	-0.0599658	
0.0442	-0.06024341	-0.06003448	-0.05975659	-0.05996552	
0.0444	-0.06024545	-0.06003477	-0.05975455	-0.05996523	
0.0446	-0.06024752	-0.06003506	-0.05975248	-0.05996494	
